SampleID,Set
2-HAAA32_S116,MRD
3-HAGAAA16_S117,MRD
14-HAGAAA04_S128,MRD
4-ZMC065A_S118,MRD
10-MQGAAA01_S124,MRD
12-HAAAAA01_S126,MRD
6-ZMC079A_S120,MRD
5-ZMC072A_S119,MRD
11-HMGAAA07_S125,MRD
15-HACAAA03_S129,MRD
8-ZMC017A_S122,MRD
5-YCAB67_S261,MRD
6-ZNAB04A_S262,MRD
3-UCAB01_S259,MRD
4-HACAAA01_S260,MRD
7-ZNAB06B_S263,MRD
8-ZNAB07B_S264,MRD
10-ZNAB02C_S266,MRD
9-ZNAB08B_S265,MRD
2-QHAB51_S258,MRD
1-HMAAAA05_S257,MRD
