SampleID,Set
61-ZMB149NB_S95028-S97028,WGS
13-ZMB164NB_S95055-S97055,WGS
35-ZK0AAAF38NB_S95083-S97083,WGS
1-ZK0CAAA24NB_S95082-S97082,WGS
17-ZK0CAAA01NB_S95065-S97065,WGS
37-ZK0AAAF42NB_S95085-S97085,WGS
1-ZK0AAAF12NB_S95093-S97093,WGS
22-ZK0AAAF32NB_S95078-S97078,WGS
21-ZK0AAAF31NB_S95077-S97077,WGS
60-ZMC060NB_S95021-S97021,WGS
39-ZK0AAAF46NB_S95087-S97087,WGS
43-ZYCAA77NB_S95017-S97017,WGS
4-ZK0CAAA31NB_S95088-S97088,WGS
42-ZYCAA76NB_S95012-S97012,WGS
60-ZMDGAAB65NB_S95015-S97015,WGS
6-ZK0CAAA38NB_S95027-S97027,WGS
6-ZK0CAAA53NB_S95062-S97062,WGS
5-ZK0CAAA73NB_S95037-S97037,WGS
58-ZYCAB51NB_S95014-S97014,WGS
3-ZK0AAAF14NB_S95095-S97095,WGS
55-ZK0CAAA63NB_S95007-S97007,WGS
51-ZK0CAAA58NB_S95003-S97003,WGS
30-ZMB131NB_S95022-S97022,WGS
32-ZMB133NB_S95024-S97024,WGS
12-ZMC054NB_S95051-S97051,WGS
21-ZK0CAAA06NB_S95069-S97069,WGS
52-ZK0CAAA59NB_S95004-S97004,WGS
8-ZK0CAAA56NB_S95064-S97064,WGS
57-ZYCAA69NB_S95010-S97010,WGS
13-ZMG111NB_S95058-S97058,WGS
41-ZNL02NB_S95059-S97059,WGS
33-ZK0AAAA15NB_S95020-S97020,WGS
61-ZMC012NB_S95068-S97068,WGS
8-ZK0AAAA72NB_S95009-S97009,WGS
38-ZK0AAAA42NB_S95039-S97039,WGS
5-ZK0AAAA66NB_S95005-S97005,WGS
2-ZK0AAAA61NB_S95002-S97002,WGS
35-ZK0AAAA29NB_S95029-S97029,WGS
62-ZMG026NB_S95076-S97076,WGS
40-ZK0AAAA58NB_S95048-S97048,WGS
64-ZMH016NB_S95080-S97080,WGS
52-ZK0AAAA24NB_S95026-S97026,WGS
4-ZK0AAAA63NB_S95004-S97004,WGS
46-ZMG025NB_S95075-S97075,WGS
57-ZLAAD30NB_S95057-S97057,WGS
36-ZK0AAAA31NB_S95030-S97030,WGS
37-ZK0AAAA37NB_S95035-S97035,WGS
58-ZNL01NB_S95058-S97058,WGS
49-ZK0AAAA14NB_S95019-S97019,WGS
54-ZK0AAAA34NB_S95032-S97032,WGS
43-ZMC009NB_S95066-S97066,WGS
39-ZK0AAAA53NB_S95044-S97044,WGS
48-ZMH014NB_S95079-S97079,WGS
50-ZK0AAAA17NB_S95022-S97022,WGS
56-ZK0AAAA44NB_S95040-S97040,WGS
42-ZMC008NB_S95065-S97065,WGS
44-ZMB027NB_S95070-S97070,WGS
55-ZK0AAAA35NB_S95033-S97033,WGS
59-ZNL04NB_S95060-S97060,WGS
45-ZMB038NB_S95072-S97072,WGS
7-ZK0AAAA71NB_S95008-S97008,WGS
60-ZMC010NB_S95067-S97067,WGS
1-ZK0AAAA59NB_S95001-S97001,WGS
47-ZMG029NB_S95077-S97077,WGS
3-ZK0AAAA62NB_S95003-S97003,WGS
53-ZK0AAAA25NB_S95027-S97027,WGS
6-ZK0AAAA70NB_S95007-S97007,WGS
51-ZK0AAAA22NB_S95025-S97025,WGS
63-ZMH007NB_S95078-S97078,WGS
34-ZK0AAAA21NB_S95024-S97024,WGS
24-ZLBE405NB_S95016-S97016,WGS
21-ZK0DAAA34NB_S95013-S97013,WGS
10-ZLBE408NB_S95002-S97002,WGS
32-ZMG163NB_S95032-S97032,WGS
2-ZK0AAAB70NB_S95034-S97034,WGS
22-ZLBE106NB_S95048-S97048,WGS
15-ZMB570NB_S95028-S97028,WGS
5-ZK0AAAD33NB_S95061-S97061,WGS
9-ZLBE301NB_S95017-S97017,WGS
10-ZLBE401NB_S95019-S97019,WGS
30-ZMB608NB_S95030-S97030,WGS
20-ZLBE104NB_S95046-S97046,WGS
27-ZLBE404NB_S95022-S97022,WGS
31-ZMB609NB_S95031-S97031,WGS
7-ZK0AAAD19NB_S95071-S97071,WGS
17-ZK0DAAA48NB_S95005-S97005,WGS
3-ZK0DAAA31NB_S95003-S97003,WGS
6-ZK0AAAB75NB_S95010-S97010,WGS
9-ZLBE113NB_S95053-S97053,WGS
4-ZK0AAAD21NB_S95060-S97060,WGS
21-ZLBE105NB_S95047-S97047,WGS
23-ZK0DAAA27NB_S95015-S97015,WGS
11-ZLBE409NB_S95003-S97003,WGS
23-ZLBE107NB_S95049-S97049,WGS
15-ZLBE209NB_S95086-S97086,WGS
6-ZK0AAAB72NB_S95070-S97070,WGS
20-ZK0DAAA35NB_S95008-S97008,WGS
16-ZLBE210NB_S95087-S97087,WGS
13-ZMC076NB_S95024-S97024,WGS
24-ZLBE108NB_S95050-S97050,WGS
5-ZK0AAAD20NB_S95009-S97009,WGS
19-ZLBE102NB_S95045-S97045,WGS
15-ZLBE305NB_S95007-S97007,WGS
1-ZK0DAAA29NB_S95001-S97001,WGS
10-ZLBE118NB_S95077-S97077,WGS
14-ZLBE204NB_S95082-S97082,WGS
5-ZK0AAAB63NB_S95069-S97069,WGS
8-ZLBE110NB_S95052-S97052,WGS
3-ZK0AAAD26NB_S95095-S97095,WGS
26-ZLBE403NB_S95021-S97021,WGS
7-ZLBE109NB_S95051-S97051,WGS
28-ZMC082NB_S95025-S97025,WGS
15-ZLBE205NB_S95083-S97083,WGS
16-ZLBE306NB_S95008-S97008,WGS
25-ZLBE302NB_S95018-S97018,WGS
14-ZLBE304NB_S95006-S97006,WGS
3-ZK0AAAD49NB_S95059-S97059,WGS
1-ZK0AAAB67NB_S95033-S97033,WGS
1-ZK0AAAD35NB_S95093-S97093,WGS
1-ZK0AAAD42NB_S95065-S97065,WGS
9-ZLBE003NB_S95075-S97075,WGS
4-ZK0AAAB58NB_S95096-S97096,WGS
2-ZK0DAAA33NB_S95066-S97066,WGS
8-ZK0AAAB71NB_S95064-S97064,WGS
11-ZLBE402NB_S95020-S97020,WGS
14-ZMB568NB_S95027-S97027,WGS
16-ZMB579NB_S95029-S97029,WGS
3-ZK0AAAB65NB_S95067-S97067,WGS
10-ZLBE114NB_S95054-S97054,WGS
18-ZK0DAAA44NB_S95006-S97006,WGS
13-ZK0AAAB61NB_S95039-S97039,WGS
4-ZK0AAAB62NB_S95036-S97036,WGS
12-ZLBE202NB_S95080-S97080,WGS
2-ZK0AAAD39NB_S95094-S97094,WGS
5-ZK0DAAA49NB_S95009-S97009,WGS
16-ZLBE406NB_S95088-S97088,WGS
13-ZLBE303NB_S95005-S97005,WGS
11-ZLBE115NB_S95055-S97055,WGS
2-ZK0DAAA30NB_S95002-S97002,WGS
15-ZK0AAAB60NB_S95041-S97041,WGS
7-ZK0DAAA28NB_S95011-S97011,WGS
14-ZK0AAAC52NB_S95040-S97040,WGS
12-ZMC069NB_S95023-S97023,WGS
7-ZK0AAAD31NB_S95011-S97011,WGS
3-ZK0DAAA39NB_S95035-S97035,WGS
9-ZLBE407NB_S95001-S97001,WGS
13-ZLBE203NB_S95081-S97081,WGS
5-ZK0DAAA26NB_S95037-S97037,WGS
1-ZK0AAAD23NB_S95057-S97057,WGS
6-ZK0AAAD43NB_S95062-S97062,WGS
19-ZK0DAAA40NB_S95007-S97007,WGS
22-ZK0DAAA45NB_S95014-S97014,WGS
8-ZK0DAAA41NB_S95012-S97012,WGS
6-ZK0AAAB59NB_S95038-S97038,WGS
4-ZK0DAAA32NB_S95004-S97004,WGS
6-ZK0DAAA25NB_S95010-S97010,WGS
2-ZK0AAAD48NB_S95058-S97058,WGS
12-ZLBE116NB_S95056-S97056,WGS
14-ZLBE208NB_S95085-S97085,WGS
11-ZLBE117NB_S95076-S97076,WGS
12-ZLBE410NB_S95004-S97004,WGS
10-ZLBE101NB_S95074-S97074,WGS
8-ZK0AAAD18NB_S95012-S97012,WGS
8-ZK0AAAD36NB_S95072-S97072,WGS
16-ZK0DAAA43NB_S95042-S97042,WGS
17-ZK0DAAA38NB_S95043-S97043,WGS
11-ZLBE119NB_S95078-S97078,WGS
29-ZMC088NB_S95026-S97026,WGS
4-ZK0AAAD47NB_S95068-S97068,WGS
13-ZLBE207NB_S95084-S97084,WGS
7-ZK0AAAD45NB_S95063-S97063,WGS
12-ZLBE120NB_S95079-S97079,WGS
9-ZLBE001NB_S95073-S97073,WGS
18-ZK0AAAB66NB_S95044-S97044,WGS
24-ZK0AAAA54NB_S95045-S97045,WGS
11-MH011NB_S95011-S97011,WGS
31-ZMB028NB_S95071-S97071,WGS
15-ZNL12NB_S95063-S97063,WGS
3-ZK0AAAA36NB_S95034-S97034,WGS
2-K0AAAA02NB_S95002-S97002,WGS
13-L12401NB_S95013-S97013,WGS
32-ZMB039NB_S95073-S97073,WGS
16-MG085NB_S95016-S97016,WGS
10-MC002NB_S95010-S97010,WGS
5-K0AAAA06NB_S95005-S97005,WGS
5-ZK0AAAA50NB_S95042-S97042,WGS
16-ZMG022NB_S95074-S97074,WGS
6-K0AAAA08NB_S95006-S97006,WGS
2-ZK0AAAA33NB_S95031-S97031,WGS
8-ZK0AAAA56NB_S95047-S97047,WGS
9-ZL11979NB_S95050-S97050,WGS
29-ZMC007NB_S95064-S97064,WGS
30-ZMB026NB_S95069-S97069,WGS
12-ZL12880NB_S95054-S97054,WGS
28-ZNL09NB_S95061-S97061,WGS
14-MB022NB_S95014-S97014,WGS
11-ZL12859NB_S95053-S97053,WGS
14-ZNL11NB_S95062-S97062,WGS
15-MB023NB_S95015-S97015,WGS
1-K0AAAA01NB_S95001-S97001,WGS
4-K0AAAA04NB_S95004-S97004,WGS
7-ZK0AAAA55NB_S95046-S97046,WGS
26-ZL12174NB_S95052-S97052,WGS
7-K0AAAA09NB_S95007-S97007,WGS
22-ZK0AAAA41NB_S95038-S97038,WGS
21-ZK0AAAA38NB_S95036-S97036,WGS
1-ZK0AAAA19NB_S95023-S97023,WGS
25-ZMH027NB_S95049-S97049,WGS
19-ZK0AAAA16NB_S95021-S97021,WGS
4-ZK0AAAA40NB_S95037-S97037,WGS
23-ZK0AAAA49NB_S95041-S97041,WGS
6-ZK0AAAA51NB_S95043-S97043,WGS
17-ZK0AAAA12NB_S95017-S97017,WGS
20-ZK0AAAA28NB_S95028-S97028,WGS
8-K0AAAA11NB_S95008-S97008,WGS
10-ZL12406NB_S95051-S97051,WGS
27-ZL12997NB_S95055-S97055,WGS
3-K0AAAA03NB_S95003-S97003,WGS
13-ZL13200NB_S95056-S97056,WGS
9-MC001NB_S95009-S97009,WGS
12-MH030NB_S95012-S97012,WGS
18-ZK0AAAA13NB_S95018-S97018,WGS
13-ZNL39NB_S95014-S97014,WGS
16-ZMB085NB_S95084-S97084,WGS
55-ZK0AAAE94NB_S95031-S97031,WGS
6-ZK0AAAB46NB_S95078-S97078,WGS
30-ZNL27NB_S95013-S97013,WGS
46-ZYCAA63NB_S95056-S97056,WGS
9-ZMC029NB_S95005-S97005,WGS
1-ZK0AAAA99NB_S95049-S97049,WGS
19-ZK0AAAB06NB_S95053-S97053,WGS
44-ZMB056NB_S95050-S97050,WGS
25-ZMC027NB_S95003-S97003,WGS
54-ZK0AAAE93NB_S95030-S97030,WGS
4-ZK0AAAB42NB_S95076-S97076,WGS
53-ZK0AAAE92NB_S95029-S97029,WGS
64-ZMG091NB_S95062-S97062,WGS
48-ZMG031NB_S95060-S97060,WGS
21-ZK0AAAB10NB_S95056-S97056,WGS
33-ZK0AAAB51NB_S95017-S97017,WGS
56-ZK0AAAE95NB_S95032-S97032,WGS
50-ZK0AAAE86NB_S95026-S97026,WGS
38-ZK0AAAE80NB_S95022-S97022,WGS
40-ZK0AAAE82NB_S95024-S97024,WGS
23-ZK0AAAB14NB_S95067-S97067,WGS
22-ZK0AAAB13NB_S95066-S97066,WGS
6-ZK0AAAB39NB_S95073-S97073,WGS
12-ZMH036NB_S95008-S97008,WGS
15-ZMG088NB_S95088-S97088,WGS
36-ZK0AAAB55NB_S95020-S97020,WGS
15-ZMB078NB_S95083-S97083,WGS
51-ZK0AAAE88NB_S95027-S97027,WGS
29-ZLAAD70NB_S95012-S97012,WGS
43-ZMH044NB_S95047-S97047,WGS
8-ZK0AAAB41NB_S95075-S97075,WGS
5-ZK0AAAB16NB_S95068-S97068,WGS
3-ZK0AAAB09NB_S95055-S97055,WGS
20-ZK0AAAB07NB_S95054-S97054,WGS
10-ZMC030NB_S95006-S97006,WGS
45-ZMB098NB_S95051-S97051,WGS
34-ZK0AAAB52NB_S95018-S97018,WGS
4-ZK0AAAB12NB_S95065-S97065,WGS
8-ZK0AAAB50NB_S95080-S97080,WGS
5-ZK0AAAB43NB_S95077-S97077,WGS
57-ZMC036NB_S95043-S97043,WGS
49-ZK0AAAE85NB_S95025-S97025,WGS
61-ZMB116NB_S95053-S97053,WGS
31-ZMB087NB_S95085-S97085,WGS
41-ZMC034NB_S95041-S97041,WGS
35-ZK0AAAB54NB_S95019-S97019,WGS
27-ZMH002NB_S95009-S97009,WGS
62-ZYCAA39NB_S95058-S97058,WGS
7-ZK0AAAB47NB_S95079-S97079,WGS
52-ZK0AAAE91NB_S95028-S97028,WGS
11-ZMH040NB_S95011-S97011,WGS
60-ZMB115NB_S95052-S97052,WGS
10-ZMC026NB_S95002-S97002,WGS
14-ZMB041NB_S95081-S97081,WGS
32-ZMG065NB_S95087-S97087,WGS
59-ZMH010NB_S95048-S97048,WGS
24-ZK0AAAB18NB_S95069-S97069,WGS
3-ZK0AAAB23NB_S95072-S97072,WGS
26-ZMC028NB_S95004-S97004,WGS
12-ZNL45NB_S95015-S97015,WGS
47-ZYCAA53NB_S95057-S97057,WGS
11-ZMC032NB_S95007-S97007,WGS
14-ZMB063NB_S95082-S97082,WGS
7-ZK0AAAB40NB_S95074-S97074,WGS
2-ZK0AAAB20NB_S95071-S97071,WGS
2-ZK0AAAB03NB_S95051-S97051,WGS
28-ZMH039NB_S95010-S97010,WGS
9-ZMC025NB_S95001-S97001,WGS
63-ZMG070NB_S95061-S97061,WGS
1-ZK0AAAB19NB_S95070-S97070,WGS
17-ZK0AAAB01NB_S95050-S97050,WGS
13-ZNL50NB_S95016-S97016,WGS
58-ZMC037NB_S95044-S97044,WGS
39-ZK0AAAE81NB_S95023-S97023,WGS
37-ZK0AAAE79NB_S95021-S97021,WGS
42-ZMC035NB_S95042-S97042,WGS
18-ZK0AAAB04NB_S95052-S97052,WGS
